Year,asia_wghtd_av
Year1993,0.528285936
Year1994,0.524551955
Year1995,0.520833264
Year1996,0.517142617
Year1997,0.513316667
Year1998,0.511968641
Year1999,0.506022936
Year2000,0.531129035
Year2001,0.506902504
Year2002,0.461799049
Year2003,0.475044564
Year2004,0.548066005
Year2005,0.510495318
Year2006,0.514676024
Year2007,0.538949298
Year2008,0.581451147
Year2009,0.627855145
Year2010,0.719384654
Year2011,1.599583878
Year2012,1.110912338
Year2013,1.076937752
Year2014,1.057445606
Year2015,1
Year2016,0.960702497
Year2017,0.892066986
Year2018,1.09860558
Year2019,1.120427625
