Year,europePrem_wghtd_av
Year1993,0.451833155
Year1994,0.476394951
Year1995,0.530872665
Year1996,0.515804768
Year1997,0.486243291
Year1998,0.493617861
Year1999,0.495667122
Year2000,0.480399177
Year2001,0.506501485
Year2002,0.602470952
Year2003,0.74865764
Year2004,0.862675142
Year2005,0.86610423
Year2006,0.839758984
Year2007,0.918930785
Year2008,0.970658691
Year2009,0.820956994
Year2010,0.799244476
Year2011,0.868051867
Year2012,0.8865126
Year2013,0.940504212
Year2014,0.956018168
Year2015,0.835605012
Year2016,0.974998806
Year2017,1
Year2018,1.076843362
Year2019,1.066171511
