Year,north_america_wghtd_av
Year1993,0.588273982
Year1994,0.608774283
Year1995,0.629251553
Year1996,0.649999886
Year1997,0.669714995
Year1998,0.690586244
Year1999,0.712641042
Year2000,0.736931844
Year2001,0.759493854
Year2002,0.561955474
Year2003,0.586707643
Year2004,0.613626511
Year2005,0.667591459
Year2006,0.709503502
Year2007,0.736317235
Year2008,0.816426644
Year2009,0.784350402
Year2010,0.780562296
Year2011,3.091226174
Year2012,0.863958126
Year2013,0.870329964
Year2014,0.921217285
Year2015,1
Year2016,1.064805764
Year2017,1.139144174
Year2018,0.98859925
Year2019,1.039708335
