Year,oceanHeatContent
1993,0.447766667
1994,1.273766667
1995,2.027766667
1996,4.307766667
1997,3.008766667
1998,4.067766667
1999,5.706766667
2000,5.435766667
2001,3.880766667
2002,6.552766667
2003,9.715766667
2004,10.00376667
2005,8.175766667
2006,10.19376667
2007,9.241766667
2008,9.815766667
2009,9.889766667
2010,10.13076667
2011,10.63276667
2012,10.70476667
2013,12.36476667
2014,13.02476667
2015,14.88576667
2016,13.73576667
2017,15.64176667
2018,16.48576667
2019,17.48976667
