Year,oceaniaPrem_wghtd_av
Year1993,0.309783295
Year1994,0.386441371
Year1995,0.393635387
Year1996,0.463839255
Year1997,0.439302211
Year1998,0.340517785
Year1999,0.388912613
Year2000,0.309396064
Year2001,0.287643284
Year2002,0.423206606
Year2003,0.511940676
Year2004,0.586215213
Year2005,0.619447233
Year2006,0.619178928
Year2007,0.72455096
Year2008,0.751986955
Year2009,0.716933687
Year2010,0.856731261
Year2011,1.02778929
Year2012,1.121803042
Year2013,1.122332187
Year2014,1.081580437
Year2015,0.924840329
Year2016,0.950298944
Year2017,1
Year2018,1.021563732
Year2019,1.013896109
