ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target,
ID_00N7XT1,7/6/2010,7/5/2011,Female,71,7/6/2010,2,JEEP,Black,REXTON,Badagry,Benue,Car Classic,0,
ID_01ZY7FF,8/7/2010,8/6/2011,Male,30,8/7/2010,1,Saloon,Grey,TOYOTA,Ikeja,Lagos,Car Classic,1,
ID_022U6TV,10/28/2010,10/27/2011,Male,40,10/28/2010,2,Saloon,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Classic,0,
ID_02DJWEN,1/23/2010,1/16/2011,Male,41,1/23/2010,1,Saloon,Silver,TOYOTA,Yaba,Benue,Car Classic,0,
ID_03U3I31,9/6/2010,9/5/2011,Male,39,9/6/2010,2,Saloon,Red,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0,
ID_03V06TZ,3/12/2010,3/11/2011,Female,39,3/12/2010,1,Saloon,Black,Honda,Alimosho,Lagos,Car Classic,0,
ID_046FQ5I,4/25/2010,4/9/2011,Male,47,4/25/2010,1,JEEP,Black,Ford,"Okpe, Delta State",Delta,Car Classic,0,
ID_04JEN82,3/8/2010,2/9/2011,Male,41,3/8/2010,2,Saloon,Silver,TOYOTA,IbadanCentral,Benue,Car Plus,0,
ID_04RDLQY,7/8/2010,7/7/2011,Male,42,7/8/2010,3,Truck,Green,Iveco,Abeokuta,Ogun,CVTP,0,
ID_052YTIW,6/6/2010,6/5/2011,Male,42,6/6/2010,1,Saloon,Red,TOYOTA,Lekki,Lagos,Car Classic,1,
ID_0577HW2,4/26/2010,4/25/2011,Female,30,4/26/2010,2,Saloon,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,
ID_05R7YFI,2/18/2010,2/17/2011,Male,37,2/18/2010,1,JEEP,Ash,Lexus,Agege,Lagos,Car Classic,1,
ID_063MQH3,10/9/2010,4/8/2011,Male,45,10/9/2010,1,Saloon,Blue,TOYOTA,Kosofe,Benue,Car Classic,1,
ID_06HCAU1,6/19/2010,4/14/2011,Male,37,6/19/2010,1,Truck,White,DAF,OGUN,Ogun,CVTP,0,
ID_06TZLPR,11/6/2010,8/6/2011,Male,52,11/6/2010,3,Saloon,Blue,TOYOTA,Apapa,Lagos,Car Classic,0,
ID_088DOQ3,1/7/2010,1/6/2011,Female,50,1/7/2010,2,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Classic,1,
ID_094BCZS,9/17/2010,9/16/2011,Male,44,9/17/2010,1,Saloon,Black,Mercedes,Victoria Island,Lagos,Car Classic,0,
ID_09BCKQW,7/24/2010,7/23/2011,Male,39,7/24/2010,2,Saloon,Black,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,0,
ID_09ECI55,2/1/2010,1/31/2011,Female,32,2/1/2010,1,Saloon,Wine,TOYOTA,Surulere,Lagos,Car Classic,0,
ID_09N5ZQL,4/4/2010,4/3/2011,Male,53,4/4/2010,2,Saloon,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Classic,0,
ID_0AP9C8K,10/23/2010,5/27/2011,Female,37,10/23/2010,2,Saloon,Black,TOYOTA,Kaduna South,Kaduna-South,Car Classic,0,
ID_0BNN4SR,7/31/2010,7/30/2011,Female,120,7/31/2010,1,Saloon,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0,
ID_0CW58L7,3/26/2010,3/25/2011,Female,56,3/26/2010,1,JEEP,Black,Nissan,Lagos Mainland,Lagos,Car Classic,0,
ID_0D03EM0,3/2/2010,3/1/2011,Female,44,3/2/2010,1,Saloon,Ash,TOYOTA,GBAGADA,Benue,Car Classic,0,
ID_0DB63CB,7/2/2010,7/1/2011,Female,26,7/2/2010,1,JEEP,Black,Honda,Port Harcourt,Rivers,Car Classic,1,
ID_0E0GIOO,7/24/2010,1/15/2011,Female,38,7/24/2010,1,JEEP,Wine,TOYOTA,Lekki,Lagos,Car Classic,0,
ID_0EARV5X,1/21/2010,1/20/2011,Male,43,1/21/2010,1,Saloon,Green,Honda,Kosofe,Benue,Car Classic,0,
ID_0EHKMTL,9/4/2010,9/3/2011,Male,50,9/4/2010,2,JEEP,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,
ID_0ELAKXI,2/4/2010,2/3/2011,Male,30,2/4/2010,2,Saloon,Black,Honda,Obia/Akpor,Obia-Akpor,Car Classic,1,
ID_0EM6LSO,3/26/2010,3/24/2011,Female,65,3/26/2010,1,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,
ID_0FP7360,12/9/2010,10/22/2011,Male,46,12/9/2010,1,JEEP,Black,TOYOTA,Surulere,Lagos,Car Classic,0,
ID_0GO0K5A,1/10/2010,1/9/2011,Male,51,1/10/2010,1,Saloon,Red,Hyundai,Central,Benue,Car Classic,0,
ID_0GVDM31,1/11/2010,1/10/2011,Male,58,1/11/2010,3,Saloon,Silver,TOYOTA,Ikeja,Lagos,Car Classic,0,
ID_0H49SVS,2/25/2010,2/24/2011,Male,43,2/25/2010,1,Saloon,Brown,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,1,
ID_0IGLH7L,1/12/2010,1/11/2011,Male,40,1/12/2010,1,Saloon,Gold,TOYOTA,Ebute-Metta,Lagos,Car Classic,0,
ID_0ILENCN,5/21/2010,5/20/2011,Male,55,5/21/2010,3,JEEP,Black,TOYOTA,Victoria Island,Lagos,Customized Motor,0,
ID_0IRFUYB,6/6/2010,6/5/2011,Female,37,6/6/2010,1,JEEP,Black,TOYOTA,Uyo,Akwa-Ibom,Car Classic,0,
ID_0K1VPIE,3/4/2010,3/3/2011,Male,41,3/4/2010,1,Saloon,Blue,TOYOTA,Mushin,Lagos,Car Classic,0,
ID_0KVEKCF,9/9/2010,9/8/2011,Female,34,9/9/2010,1,Saloon,Red,TOYOTA,Alimosho,Lagos,Car Classic,0,
ID_0L4IT7F,6/20/2010,6/19/2011,Male,62,6/20/2010,2,JEEP,Black,Honda,Katagum,Benue,Car Classic,0,
ID_0N2X552,4/15/2010,1/3/2011,Female,33,4/15/2010,1,Saloon,Green,Honda,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0,
ID_0OH05TQ,3/20/2010,3/19/2011,Male,39,3/20/2010,1,JEEP,Wine,TOYOTA,Ikeja,Lagos,Car Classic,0,
ID_0QEKD0C,6/6/2010,6/5/2011,Male,42,6/6/2010,1,Saloon,Black,TOYOTA,Lekki,Lagos,Car Classic,0,
ID_0QW3W1U,12/13/2010,12/12/2011,Male,49,12/13/2010,1,Saloon,Black,TOYOTA,Ibadan South West,Ibadan-West,Car Classic,0,
ID_0R1RIW0,6/18/2010,6/13/2011,Male,52,6/18/2010,1,Saloon,Blue,TOYOTA,ISHERI,Benue,Car Classic,0,
ID_0R8HDFR,2/22/2010,2/21/2011,Male,45,2/22/2010,2,Saloon,Green,TOYOTA,Festac,Benue,Car Classic,0,
ID_0RP78NL,5/13/2010,4/10/2011,Female,60,5/13/2010,1,Saloon,As Attached,TOYOTA,IbadanCentral,Benue,Car Classic,0,
ID_0STS32D,10/29/2010,10/28/2011,Male,67,10/29/2010,1,JEEP,Red,Kia,Zaria ,Kaduna,Car Classic,0,
ID_0T0PQNR,12/5/2010,12/4/2011,Female,40,12/5/2010,4,Saloon,Black,Honda,Victoria Island,Lagos,Customized Motor,0,
ID_0TCB8GJ,10/11/2010,10/10/2011,Female,41,10/11/2010,1,Saloon,Black,TOYOTA,Surulere,Lagos,Car Classic,0,
ID_0U6YWUD,5/28/2010,5/27/2011,Male,61,5/28/2010,2,Saloon,As Attached,Kia,Surulere,Lagos,Car Classic,0,
ID_0UM7DYC,6/28/2010,3/26/2011,Male,52,6/28/2010,1,JEEP,Black,Lexus,Lagos Island,Lagos,Car Classic,0,
ID_0UM86EF,6/26/2010,6/24/2011,Female,64,6/26/2010,3,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Plus,0,
ID_0UVUQ0H,5/23/2010,5/22/2011,Male,49,5/23/2010,3,JEEP,Black,Lexus,Lekki,Lagos,Car Classic,0,
ID_0W3PCWB,11/2/2010,11/1/2011,Female,44,11/2/2010,1,JEEP,White,TOYOTA,Victoria Island,Lagos,Car Classic,0,
ID_0W87WW9,2/11/2010,2/10/2011,Male,35,2/11/2010,1,Saloon,Silver,TOYOTA,Abeokuta,Ogun,Car Classic,1,
ID_0X7JTGO,11/4/2010,3/15/2011,Male,46,11/4/2010,4,Saloon,Black,Mercedes,Victoria Island,Lagos,Customized Motor,0,
ID_0YNY8IT,1/14/2010,1/13/2011,Entity,40,1/14/2010,4,Saloon,Black,Kia,Ibeju/Lekki,Ibeju-Lekki,Car Classic,1,
ID_110V61M,7/5/2010,7/2/2011,Female,40,7/5/2010,1,JEEP,As Attached,ACURA,Kosofe,Benue,Car Classic,0,
ID_1143H6E,3/22/2010,3/21/2011,Female,35,3/22/2010,1,JEEP,Black,TOYOTA,Shomolu,Benue,Car Classic,0,
ID_11QQZG9,6/11/2010,6/10/2011,Male,28,6/11/2010,1,Saloon,Silver,TOYOTA,Agege,Lagos,Car Classic,1,
ID_11Z226Z,4/30/2010,2/10/2011,Female,30,4/30/2010,1,Saloon,Gold,TOYOTA,Ikeja,Lagos,Car Plus,0,
ID_134PY77,10/18/2010,10/17/2011,Female,34,10/18/2010,1,Saloon,Black,TOYOTA,Ido,Benue,Car Classic,1,
ID_139VZIE,1/12/2010,1/9/2011,NO GENDER,33,1/12/2010,1,Saloon,Black,Honda,Victoria Island,Lagos,Car Classic,0,
ID_13D8KE6,5/16/2010,5/15/2011,Entity,120,5/16/2010,2,JEEP,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0,
ID_14CT2J3,9/27/2010,6/13/2011,Male,40,9/27/2010,1,Saloon,Green,TOYOTA,Ibadan South West,Ibadan-West,Car Classic,1,
ID_14X284U,1/18/2010,1/17/2011,Female,42,1/18/2010,1,Saloon,Blue,TOYOTA,Apapa,Lagos,Car Classic,0,
ID_150XAUY,8/5/2010,8/4/2011,Male,43,8/5/2010,2,JEEP,Black,Mitsubishi,Ikeja,Lagos,Car Classic,0,
ID_15715AW,10/22/2010,10/21/2011,Male,62,10/22/2010,1,JEEP,As Attached,Lexus,Central,Benue,Car Classic,0,
ID_15DJ74K,4/2/2010,4/1/2011,Male,38,4/2/2010,1,Saloon,Gold,Hyundai,Lagos Mainland,Lagos,Car Classic,0,
ID_15OH215,3/21/2010,3/20/2011,Male,36,3/21/2010,1,Saloon,Black,Honda,ENUGU EAST,ENUGU-EAST,Car Classic,0,
